Date: 2011-07-28
Station: K02

Time (s)      E (V/m)
77513.3444152  -0.05822896
77513.3444162  -0.05847311
77513.3444172  -0.05847311
77513.3444182  -0.05896140
77513.3444192  -0.06140287
77513.3444202  -0.06189116
77513.3444212  -0.05822896
77513.3444222  -0.05749652
77513.3444232  -0.05896140
77513.3444242  -0.06018213
77513.3444252  -0.05896140
77513.3444262  -0.05822896
77513.3444272  -0.05871725
77513.3444282  -0.05822896
77513.3444292  -0.05896140
77513.3444302  -0.05920555
77513.3444312  -0.05993799
77513.3444322  -0.05993799
77513.3444332  -0.06042628
77513.3444342  -0.05944969
77513.3444352  -0.05896140
77513.3444362  -0.05822896
77513.3444372  -0.05822896
77513.3444382  -0.05871725
77513.3444392  -0.05871725
77513.3444402  -0.05944969
77513.3444412  -0.05944969
77513.3444422  -0.05896140
77513.3444432  -0.05969384
77513.3444442  -0.05847311
77513.3444452  -0.05847311
77513.3444462  -0.05920555
77513.3444472  -0.05993799
77513.3444482  -0.06042628
77513.3444492  -0.06067043
77513.3444502  -0.06164701
77513.3444512  -0.06018213
77513.3444522  -0.05822896
77513.3444532  -0.05871725
77513.3444542  -0.05847311
77513.3444552  -0.05798481
77513.3444562  -0.05822896
77513.3444572  -0.05896140
77513.3444582  -0.05944969
77513.3444592  -0.05993799
77513.3444602  -0.06018213
77513.3444612  -0.05969384
77513.3444622  -0.05896140
77513.3444632  -0.05969384
77513.3444642  -0.06018213
77513.3444652  -0.05969384
77513.3444662  -0.06067043
77513.3444672  -0.06115872
77513.3444682  -0.05969384
77513.3444692  -0.05774067
77513.3444702  -0.05676408
77513.3444712  -0.05774067
77513.3444722  -0.05725237
77513.3444732  -0.05798481
77513.3444742  -0.05774067
77513.3444752  -0.05969384
77513.3444762  -0.06042628
77513.3444772  -0.06140287
77513.3444782  -0.06042628
77513.3444792  -0.06018213
77513.3444802  -0.05774067
77513.3444812  -0.05847311
77513.3444822  -0.05896140
77513.3444832  -0.05944969
77513.3444842  -0.05944969
77513.3444852  -0.05969384
77513.3444862  -0.05944969
77513.3444872  -0.05944969
77513.3444882  -0.05798481
77513.3444892  -0.05774067
77513.3444902  -0.05871725
77513.3444912  -0.05871725
77513.3444922  -0.05920555
77513.3444932  -0.05944969
77513.3444942  -0.05993799
77513.3444952  -0.06091457
77513.3444962  -0.05993799
77513.3444972  -0.05871725
77513.3444982  -0.05847311
77513.3444992  -0.05847311
77513.3445002  -0.05847311
77513.3445012  -0.05847311
77513.3445022  -0.05847311
77513.3445032  -0.05871725
77513.3445042  -0.05944969
77513.3445052  -0.06018213
77513.3445062  -0.06115872
77513.3445072  -0.06164701
77513.3445082  -0.05896140
77513.3445092  -0.05774067
77513.3445102  -0.05725237
77513.3445112  -0.05822896
77513.3445122  -0.05920555
77513.3445132  -0.06018213
77513.3445142  -0.05993799
77513.3445152  -0.05822896
77513.3445162  -0.05774067
77513.3445172  -0.05798481
77513.3445182  -0.05749652
77513.3445192  -0.05822896
77513.3445202  -0.05725237
77513.3445212  -0.05847311
77513.3445222  -0.05871725
77513.3445232  -0.06018213
77513.3445242  -0.05993799
77513.3445252  -0.05969384
77513.3445262  -0.06018213
77513.3445272  -0.06067043
77513.3445282  -0.05993799
77513.3445292  -0.06018213
77513.3445302  -0.05896140
77513.3445312  -0.05798481
77513.3445322  -0.05896140
77513.3445332  -0.05896140
77513.3445342  -0.05896140
77513.3445352  -0.05920555
77513.3445362  -0.05993799
77513.3445372  -0.05944969
77513.3445382  -0.06067043
77513.3445392  -0.05993799
77513.3445402  -0.05944969
77513.3445412  -0.05944969
77513.3445422  -0.05847311
77513.3445432  -0.05871725
77513.3445442  -0.06018213
77513.3445452  -0.05969384
77513.3445462  -0.05969384
77513.3445472  -0.05920555
77513.3445482  -0.05920555
77513.3445492  -0.05944969
77513.3445502  -0.05969384
77513.3445512  -0.06042628
77513.3445522  -0.05822896
77513.3445532  -0.05969384
77513.3445542  -0.05896140
77513.3445552  -0.05725237
77513.3445562  -0.05944969
77513.3445572  -0.06018213
77513.3445582  -0.06140287
77513.3445592  -0.06140287
77513.3445602  -0.06067043
77513.3445612  -0.05822896
77513.3445622  -0.05725237
77513.3445632  -0.05847311
77513.3445642  -0.05896140
77513.3445652  -0.05920555
77513.3445662  -0.05871725
77513.3445672  -0.06018213
77513.3445682  -0.05969384
77513.3445692  -0.05896140
77513.3445702  -0.05871725
77513.3445712  -0.05822896
77513.3445722  -0.05847311
77513.3445732  -0.05871725
77513.3445742  -0.06042628
77513.3445752  -0.05993799
77513.3445762  -0.05920555
77513.3445772  -0.05944969
77513.3445782  -0.05920555
77513.3445792  -0.05847311
77513.3445802  -0.05749652
77513.3445812  -0.05896140
77513.3445822  -0.06067043
77513.3445832  -0.06140287
77513.3445842  -0.06115872
77513.3445852  -0.05920555
77513.3445862  -0.05896140
77513.3445872  -0.05944969
77513.3445882  -0.05822896
77513.3445892  -0.05944969
77513.3445902  -0.05896140
77513.3445912  -0.05920555
77513.3445922  -0.05896140
77513.3445932  -0.05822896
77513.3445942  -0.05822896
77513.3445952  -0.05822896
77513.3445962  -0.05871725
77513.3445972  -0.05871725
77513.3445982  -0.05896140
77513.3445992  -0.05896140
77513.3446002  -0.05847311
77513.3446012  -0.05944969
77513.3446022  -0.05896140
77513.3446032  -0.05871725
77513.3446042  -0.05798481
77513.3446052  -0.05920555
77513.3446062  -0.05871725
77513.3446072  -0.05871725
77513.3446082  -0.05847311
77513.3446092  -0.05920555
77513.3446102  -0.06042628
77513.3446112  -0.06091457
77513.3446122  -0.06067043
77513.3446132  -0.05896140
77513.3446142  -0.05871725
77513.3446152  -0.05847311
77513.3446162  -0.05871725
77513.3446172  -0.05944969
77513.3446182  -0.05993799
77513.3446192  -0.05969384
77513.3446202  -0.05920555
77513.3446212  -0.05847311
77513.3446222  -0.05896140
77513.3446232  -0.06091457
77513.3446242  -0.05993799
77513.3446252  -0.05969384
77513.3446262  -0.05896140
77513.3446272  -0.05847311
77513.3446282  -0.05725237
77513.3446292  -0.05822896
77513.3446302  -0.05969384
77513.3446312  -0.06018213
77513.3446322  -0.05896140
77513.3446332  -0.05798481
77513.3446342  -0.05847311
77513.3446352  -0.05749652
77513.3446362  -0.05896140
77513.3446372  -0.05920555
77513.3446382  -0.05871725
77513.3446392  -0.05822896
77513.3446402  -0.05725237
77513.3446412  -0.05871725
77513.3446422  -0.05896140
77513.3446432  -0.05969384
77513.3446442  -0.05993799
77513.3446452  -0.06091457
77513.3446462  -0.06140287
77513.3446472  -0.06091457
77513.3446482  -0.06067043
77513.3446492  -0.05896140
77513.3446502  -0.05798481
77513.3446512  -0.05822896
77513.3446522  -0.05725237
77513.3446532  -0.05822896
77513.3446542  -0.05822896
77513.3446552  -0.05969384
77513.3446562  -0.06115872
77513.3446572  -0.05969384
77513.3446582  -0.05944969
77513.3446592  -0.05871725
77513.3446602  -0.05920555
77513.3446612  -0.05847311
77513.3446622  -0.05920555
77513.3446632  -0.05871725
77513.3446642  -0.05896140
77513.3446652  -0.05822896
77513.3446662  -0.05944969
77513.3446672  -0.05920555
77513.3446682  -0.06067043
77513.3446692  -0.06018213
77513.3446702  -0.05920555
77513.3446712  -0.05920555
77513.3446722  -0.05944969
77513.3446732  -0.05871725
77513.3446742  -0.05969384
77513.3446752  -0.05944969
77513.3446762  -0.05944969
77513.3446772  -0.05822896
77513.3446782  -0.05871725
77513.3446792  -0.05847311
77513.3446802  -0.05847311
77513.3446812  -0.05896140
77513.3446822  -0.05896140
77513.3446832  -0.05749652
77513.3446842  -0.05822896
77513.3446852  -0.05749652
77513.3446862  -0.05725237
77513.3446872  -0.05798481
77513.3446882  -0.05944969
77513.3446892  -0.05920555
77513.3446902  -0.05847311
77513.3446912  -0.06018213
77513.3446922  -0.06042628
77513.3446932  -0.05944969
77513.3446942  -0.05871725
77513.3446952  -0.05944969
77513.3446962  -0.05944969
77513.3446972  -0.05871725
77513.3446982  -0.05993799
77513.3446992  -0.05969384
77513.3447002  -0.05798481
77513.3447012  -0.05822896
77513.3447022  -0.05896140
77513.3447032  -0.05993799
77513.3447042  -0.05993799
77513.3447052  -0.06115872
77513.3447062  -0.06018213
77513.3447072  -0.06067043
77513.3447082  -0.06067043
77513.3447092  -0.05920555
77513.3447102  -0.05822896
77513.3447112  -0.05749652
77513.3447122  -0.05774067
77513.3447132  -0.05798481
77513.3447142  -0.05847311
77513.3447152  -0.05871725
77513.3447162  -0.05969384
77513.3447172  -0.05993799
77513.3447182  -0.05871725
77513.3447192  -0.05847311
77513.3447202  -0.05944969
77513.3447212  -0.05944969
77513.3447222  -0.05969384
77513.3447232  -0.05847311
77513.3447242  -0.05944969
77513.3447252  -0.05969384
77513.3447262  -0.05896140
77513.3447272  -0.05944969
77513.3447282  -0.05993799
77513.3447292  -0.06091457
77513.3447302  -0.06042628
77513.3447312  -0.05871725
77513.3447322  -0.05700823
77513.3447332  -0.05700823
77513.3447342  -0.05822896
77513.3447352  -0.05969384
77513.3447362  -0.05822896
77513.3447372  -0.05700823
77513.3447382  -0.05700823
77513.3447392  -0.05651993
77513.3447402  -0.05798481
77513.3447412  -0.05896140
77513.3447422  -0.05993799
77513.3447432  -0.06140287
77513.3447442  -0.06237945
77513.3447452  -0.06140287
77513.3447462  -0.05993799
77513.3447472  -0.05920555
77513.3447482  -0.05944969
77513.3447492  -0.05993799
77513.3447502  -0.05896140
77513.3447512  -0.05920555
77513.3447522  -0.05896140
77513.3447532  -0.05896140
77513.3447542  -0.05896140
77513.3447552  -0.05896140
77513.3447562  -0.05944969
77513.3447572  -0.05896140
77513.3447582  -0.05993799
77513.3447592  -0.05993799
77513.3447602  -0.06164701
77513.3447612  -0.06286775
77513.3447622  -0.06237945
77513.3447632  -0.06018213
77513.3447642  -0.05896140
77513.3447652  -0.05920555
77513.3447662  -0.05822896
77513.3447672  -0.05896140
77513.3447682  -0.05920555
